cusip,numtrds,NAME,CPN,MATURITY,STATE_CODE,CALLABLE,NXT_CALL_DT,NXT_CALL_PX,NXT_PAR_CALL_DT,ISSUER_INDUSTRY,CREDIT_ENHANCEMENTS,MUNI_FED_TAX,MUNI_MIN_TAX,MUNI_BANK_QUAL,INSURANCE_STATUS,SECONDARILY_INSURED,RTG_MOODY,RTG_MDY_LT_UNDL,RTG_SP,RTG_SP_UNDERLYING,MUNI_MTY_SIZE,MUNI_ISSUE_SIZE,MUNI_FIRST_ALLOWABLE_TRADE_DATE,RatingLevel,RatingLevel_Under
167593CJ9,11,CHICAGO INTL ARPT,5.25,1/1/2019,IL,N,,,,APT,,N,Y,N,N,N,A1,A1,A-,NR,40700000,55850000,4/15/2010,5,4
13972MAX6,12,CAP AREA CUL-B-ROMAN,6.125,4/1/2045,TX,Y,4/1/2020,100,4/1/2020,EDU,,N,N,N,N,N,Baa2,Baa2,NR,NR,61650000,61650000,4/15/2010,8,8
897579AA6,27,TROY RES CORP-A-RENSS,5,9/1/2030,NY,Y,9/1/2020,100,9/1/2020,HGR,,N,N,N,N,N,A3,A3,A,NR,89455000,311630000,4/14/2010,5.5,6
897579AB4,42,TROY RES CORP-A-RENSS,5.125,9/1/2040,NY,Y,9/1/2020,100,9/1/2020,HGR,,N,N,N,N,N,A3,A3,A,NR,222175000,311630000,4/14/2010,5.5,6
717893VA6,10,PHILADELPHIA WTR-A,4,6/15/2012,PA,N,,,,WTR,,N,N,N,N,N,A3,A3,A,NR,40415000,396460000,4/9/2010,5.5,6
717893VE8,11,PHILADELPHIA WTR-A,5,6/15/2016,PA,N,,,,WTR,,N,N,N,N,N,A3,A3,A,NR,73995000,396460000,4/9/2010,5.5,6
516826GJ7,11,LAREDO TX COMM CLG,5.25,8/1/2035,TX,Y,8/1/2020,100,8/1/2020,HGR,AGM,N,N,N,Y,N,Aa3,A3,AAA,BBB+,16865000,32005000,4/9/2010,1.5,6.5
69650QAK6,14,PALM BCH HLTH-A,4.75,7/1/2025,FL,Y,7/1/2020,100,7/1/2020,MED,AGM,N,N,N,Y,N,Aa3,A3,AAA,NR,18380000,130000000,4/9/2010,1.5,6
69650QAL4,18,PALM BCH HLTH-A,5,7/1/2030,FL,Y,7/1/2020,100,7/1/2020,MED,AGM,N,N,N,Y,N,Aa3,A3,AAA,NR,23295000,130000000,4/9/2010,1.5,6
69650QAM2,47,PALM BCH HLTH-A,5.25,7/1/2040,FL,Y,7/1/2020,100,7/1/2020,MED,AGM,N,N,N,Y,N,Aa3,A3,AAA,NR,68475000,130000000,4/9/2010,1.5,6
644682F35,10,NH ST-REF-SER A,5,7/1/2019,NH,N,,,,GOB,,N,N,N,N,N,Aa2,Aa2,AA,NR,23540000,153345000,4/8/2010,2,2
5458963V2,10,LOUDOUN CNTY-REF-A,5,12/1/2021,VA,Y,12/1/2020,100,12/1/2020,GOB,,N,N,N,N,N,Aaa,Aaa,AAA,NR,20075000,89120000,4/8/2010,0,0
